id,menu,paymentType,CustomerId,LocationId,diningOptions,TimeCreated
8003,card,Debit Card,4282,7518,Dine In,2024-04-24 17:07:12
4843,official,Mobile Payment,1602,4377,Dine In,2024-03-08 02:22:20
7414,upon,Mobile Payment,8730,5417,Delivery,2024-07-29 13:37:26
8714,recognize,Mobile Payment,3168,7335,Delivery,2024-01-09 02:58:36
3048,stand,Debit Card,3588,9196,Take Out,2024-09-23 02:17:22
600,several,Mobile Payment,7296,1203,Delivery,2024-05-12 23:36:16
8672,machine,Debit Card,5129,8115,Take Out,2024-05-10 03:30:44
3082,into,Debit Card,4120,5417,Dine In,2024-01-15 01:54:41
8229,oil,Mobile Payment,7178,5550,Delivery,2024-04-05 20:43:24
3681,head,Debit Card,7771,5765,Take Out,2024-02-06 01:46:15
1084,impact,Debit Card,2085,3964,Take Out,2024-04-18 16:46:38
2830,tell,Mobile Payment,5090,7122,Dine In,2024-07-04 18:25:25
839,action,Credit Card,6198,2913,Take Out,2024-03-07 20:58:53
5297,believe,Mobile Payment,2256,4409,Take Out,2024-08-26 00:12:09
130,pattern,Debit Card,2085,4409,Dine In,2024-07-22 13:42:55
959,situation,Credit Card,2502,3477,Dine In,2024-04-13 22:51:25
7928,cost,Debit Card,679,4924,Take Out,2024-04-10 21:42:03
5373,degree,Cash,5238,4417,Delivery,2024-06-24 22:34:28
8131,than,Cash,7296,4340,Delivery,2024-09-03 01:04:55
285,always,Cash,9554,8115,Dine In,2024-03-13 11:19:54
342,medical,Debit Card,1444,5736,Dine In,2024-04-30 16:15:09
2608,suffer,Cash,9959,9122,Take Out,2024-07-28 18:41:39
9168,method,Debit Card,6198,2205,Take Out,2024-03-10 22:22:01
1848,region,Cash,7301,1203,Dine In,2024-03-27 20:51:48
